3601; 0
3602; 0,5
3603; 1
3604; 1,5
3605; 2
3606; 2,5
3607; 3
3608; 3,5
3609; 4
3610; 4,5
3611; 5
3612; 5,5
3613; 6
3614; 6,5
3615; 7
3616; 7,5
3617; 8
3618; 8,5
3619; 9
3620; 9,5
3621; 10
3622; 10,5
3623; 11
3624; 11,5
3625; 12
3626; 12,5
3627; 13
3628; 13,5
3629; 14
3630; 14,5
3631; 15
3632; 15,5
3633; 16
3634; 16,5
3635; 17
3636; 17,5
3637; 18
3638; 18,5
3639; 19
3640; 19,5
3641; 20
3642; 20,5
3643; 21
3644; 21,5
3645; 22
3646; 22,5
3647; 23
3648; 23,5
3649; 24
3650; 24,5
3651; 25
3652; 25,5
3653; 26
3654; 26,5
3655; 27
3656; 27,5
3657; 28
3658; 28,5
3659; 29
3660; 29,5
3661; 30
3662; 30,5
3663; 31
3664; 31,5
3665; 32
3666; 32,5
3667; 33
3668; 33,5
3669; 34
3670; 34,5
3671; 35
3672; 35,5
3673; 36
3674; 36,5
3675; 37
3676; 37,5
3677; 38
3678; 38,5
3679; 39
3680; 39,5
3681; 40
3682; 40,5
3683; 41
3684; 41,5
3685; 42
3686; 42,5
3687; 43
3688; 43,5
3689; 44
3690; 44,5
3691; 45
3692; 45,5
3693; 46
3694; 46,5
3695; 47
3696; 47,5
3697; 48
3698; 48,5
3699; 49
3700; 49,5
3701; 50
3702; 50,5
3703; 51
3704; 51,5
3705; 52
3706; 52,5
3707; 53
3708; 53,5
3709; 54
3710; 54,5
3711; 55
3712; 55,5
3713; 56
3714; 56,5
3715; 57
3716; 57,5
3717; 58
3718; 58,5
3719; 59
3720; 59,5
3721; 60
3722; 60,5
3723; 61
3724; 61,5
3725; 62
3726; 62,5
3727; 63
3728; 63,5
3729; 64
3730; 64,5
3731; 65
3732; 65,5
3733; 66
3734; 66,5
3735; 67
3736; 67,5
3737; 68
3738; 68,5
3739; 69
3740; 69,5
3741; 70
3742; 70,5
3743; 71
3744; 71,5
3745; 72
3746; 72,5
3747; 73
3748; 73,5
3749; 74
3750; 74,5
3751; 75
3752; 75,5
3753; 76
3754; 76,5
3755; 77
3756; 77,5
