600; 1,47797624512092, 1,73630664034033
601; 0,619167623027366, 2,61234025243393
602; 1,58233116050026, -0,726045863024507
603; 1,27360831421554, 0,59594707308758
604; 0,981103302340868, 2,92439872141228
605; 0,602929438320172, -0,538202487821519
606; -1,70762626358682, -3,24761283166847
607; -1,17002583286211, -3,31552724668377
608; -0,404673636800345, 2,71458511907972
609; 0,69787076245517, -3,55730907943427
610; 2,52476522902937, -1,54009728737394
611; -0,214811392882064, -1,00650814719506
612; -0,368495530476914, -0,172844078379341
613; 0,598538432502927, -1,23761440084819
614; -0,550084724756496, -0,590267908587384
615; -0,390812203560855, -0,801820967290929
616; 2,36776242324096, 1,73673718425045
617; 0,828937764034059, -3,32505877218426
618; -0,928802178895323, 1,49522868450657
619; 3,69369493205789, -2,44218711782289
620; 3,93887793663831, -1,39224435573933
621; 0,395291318869781, -1,47902552781925
622; -0,993584727184023, 2,34049601665479
623; -2,5199293080101, 1,76178334632859
624; 0,660557062254023, -1,28308624996344
625; 0,43390896013571, 2,8130692781664
626; -2,59123100339682, -2,4627874300386
627; -1,19367223580238, 1,07457828948431
628; 0,24275524802078, 0,119271480271852
629; 0,276201371273931, -2,06040722368509
630; -2,29243532165959, -1,39048447542932
631; 1,3695050063808, 0,585063324599551
632; -0,796235589331258, -0,811050009050734
633; 0,940193073408573, -0,453776525152706
634; 0,0841849719495273, -0,210690933772588
635; -1,91521459086448, 0,174736682077099
636; -0,643992328925887, -4,36579567188769
637; -2,48228902326269, -0,956252575790562
638; 0,432306959370302, 0,440669485975808
639; 1,28840641807298, 3,02892232453153
640; 0,0838402024087541, -1,96034454916392
641; 0,267765166347553, -0,382058702419687
642; 3,29162152812304, 2,86293495430681
643; 3,06524115620723, 0,405929157533576
644; -0,66235478950914, 0,736342939858324
645; -0,587159916475468, 1,00878527693171
646; -1,92229940015273, 1,19022848047564
647; -2,47503065060231, 1,2066993436891
648; 2,81956613106312, 0,477564754159
649; -2,79666443414247, -0,489975249290078
650; 1,93801635799694, 1,40936970830561
651; -0,962199964722799, 0,39808279956563
652; -1,58214525291918, 0,418952291680003
653; -1,87267937963745, 0,779114886691645
654; 0,444085448914534, 1,3909230615202
655; 0,949160333002364, -0,256144820052911
656; -0,346193864201305, 1,38731453494221
657; -1,01635196069774, 0,375027604070839
658; 1,37043201833347, -1,54743669039781
659; 2,98124314949565, -4,28063261946091
660; 0,221451049462443, -0,634993672649212
661; -1,6127320055474, 0,982263324916531
662; 3,03391286591053, 1,68348062299496
663; -0,204959696196371, -0,422697550644628
664; -0,859100987844096, 0,71401728571211
665; 3,84115111487065, 1,49345745803102
666; -0,652591986494507, 0,635889959866855
667; 1,68102716863195, 0,437388526150689
668; -0,0595148637639474, -0,722338918517876
669; 1,93563237975826, -0,264778452545227
670; -0,486637313642391, 0,48483872194728
671; 1,35113812185712, -0,212701672563923
672; 0,858447011462127, 1,79636733351867
673; 1,09002414543444, 0,997425123194724
674; -0,190638964411297, 0,655523820348012
675; -2,25041698748104, -1,76585811859089
676; -1,47567837741213, 0,0495877703959534
677; 1,11686771193443, 1,07628399629276
678; -1,09292389627579, -1,55549203647401
679; 0,473062348839619, -1,08352294231005
680; -1,23928547091484, -0,617599459203713
681; 1,98182087993022, -0,171424139451954
682; 3,51222243318062, -3,48006942211798
683; -0,505900155593897, -0,589170547862444
684; -0,483642741740923, -0,0579717705381893
685; -0,403348069072252, -1,64476571017156
686; 0,0115871992063354, -0,701047237577853
687; -0,787145903526344, 1,1040109699697
688; 1,27893593873013, -0,473620156081324
689; 0,289388985388585, -0,154198492597115
690; -0,0868816981317503, -0,701300359507917
691; 0,404488885742289, 1,13577485370505
692; -0,262539012216498, -1,30881885628544
693; 0,548266601770196, 0,450315391918587
694; 0,360280674514135, 0,283928800397503
695; -1,69463329301278, 1,59542783708103
696; 0,352424556413726, 1,07927627423218
697; -0,213867692798304, -1,34422813532876
698; -1,58070656302582, -1,32712379990835
699; -0,989971950093037, -2,86415629743867
700; 0,0410504692757057, 1,34962670654357
701; -1,01736301735505, 0,638376797685036
702; -1,39222069834757, -1,31132467985565
703; -0,414843095080697, 0,56882871771768
704; 0,761184747299185, 1,26182320283228
705; 0,926565546940957, -0,738780257958741
706; -0,959739336237412, 0,434308404756409
707; 0,138436996125103, -0,435668000954895
708; 1,04684418296768, -2,10796566857006
709; -1,92024569821309, -1,86939600765438
710; -0,0899801561454706, 1,30661268241817
711; 2,25320335124153, -0,423971297516461
712; 0,532778212258989, 0,359098173808156
713; -0,452123273769659, -0,00915018237496279
714; -0,70609350101678, 1,46493454299856
715; -1,02667332785914, 1,45349373545006
716; 0,493022254717022, -0,481098943130164
717; -0,135401219136219, 0,741351090810202
718; -0,866573396687494, 1,74482479803085
719; -0,59077759168746, 0,316703960382705
720; 0,820213817640631, 0,182504094559018
721; 1,6060200786381, -0,417391081437652
722; -0,285780492193689, -0,673944957408747
723; 0,60230478470946, -0,0324887220877012
724; -1,0752494936847, -0,428663485871921
725; 0,196024532924505, -0,553978768034196
726; -1,82826220115451, 1,138760026915
727; 0,291164875786064, 1,5918372731808
728; -0,415052428904082, 0,269917273523706
729; -0,0519889612008656, 1,17762851965916
730; 1,2258967685548, -0,0232469507587551
731; 1,90722296936052, -0,934296612605168
732; -0,364072302422551, 0,0646117966375858
733; 0,527850431121684, 0,0710628282970174
734; 1,10465512090095, 0,923657220861942
735; 1,43832228802741, 1,19953372186533
736; -0,56614659625229, -0,5260702693733
737; -0,408351217463183, -0,587486541786617
738; 0,0669703951342676, 0,42960125874375
739; 0,0404765196704835, -0,210764481385143
740; 1,02738609078707, 0,651402161949794
741; 0,11564900504957, 1,1260181189774
742; 0,353620161924319, -0,293201690189696
743; -0,374779933933716, 0,592995827369158
744; 1,26247814003564, 0,532809455755876
745; 0,785332251504181, 0,335050963677223
746; -0,0296457343836462, 0,165534410335764
747; -0,59613072949372, -1,08582087485262
748; -1,03779752195652, -1,02503491705904
749; -0,557434783404345, 0,689864307940222
750; 0,977955846590017, -0,795848047122022
751; 0,272789090632107, -1,59168842982749
752; -0,0480353973277762, 0,457992781423894
753; 0,106471745709632, 0,465655856273389
754; 1,28506315182052, -0,181029791400907
755; 0,373124130243807, -0,280373873980132
756; 0,0604739005108014, 0,0846086286264071
757; 0,296308761867952, 0,286950953111071
758; -0,191763019728909, 0,335571214439325
759; -0,319613063363777, -0,0626971741934827
760; 0,624495611988092, -0,309601190345046
761; 1,59245082008849, -1,01040758850951
762; 0,141376634643894, -0,609389150113128
763; 0,0688175622691877, 0,168274825143207
764; -0,0156959448843228, 0,228646664370355
765; -0,291308896941365, -0,556141943183507
766; -0,435339202189253, 0,397659751039133
767; -0,445195699440544, -0,438954562334723
768; -1,00510091891685, 0,34069327466965
769; 0,796203596748972, 0,13588843397595
770; 0,418058779602379, -0,933152070251452
771; -0,917013147452248, -1,30572092949243
772; 0,357496025503196, 0,278216179383147
773; 0,397184762795906, -0,0573220369218219
774; -0,0149850490557545, -0,398409819205881
775; -0,252622384445876, 0,182667878081782
776; -0,325933793054188, 0,213982113281118
777; -0,754870109434556, -0,463533989968912
778; -0,566003805371445, 0,0233653306695544
779; 0,044601772721815, -0,0174619750284279
780; -0,0455566758747796, 0,390391259966073
781; -0,289011997783974, -0,321199936493115
782; -0,253863744606701, -0,0158094599351044
783; 0,7180061499399, 0,884270536915002
784; 1,00920471864024, -0,157689027861708
785; 0,112068884054505, -0,136983119493697
786; -0,175102182135907, -0,208250850669885
787; 0,318630475706756, 0,764536369185294
788; -0,764869202168626, -0,183088534790418
789; 0,379983161565904, 0,535461813431907
790; -0,696158681140627, -0,257521256304804
791; -0,383223165548629, 0,518302371468202
792; 0,0717997377691861, 1,34017532292292
793; -0,241064882322442, 0,109782379930201
794; -0,0522295267287821, 0,104955343664261
795; 0,269494654489189, -0,130527803243345
796; 0,0141214626809295, -0,571685527894818
797; -0,267991970190226, 0,395212044810364
798; -0,378141972409074, 0,201032854739461
799; -0,376792562056994, 0,141436862256848
800; 0,218067044663705, -0,497712023711725
801; 0,701137553406888, 0,405312836887695
