1; 1891,48387895937
 0
2; -0,393017264819098
 -0,311832287726724
3; -0,121499467421219
 0,323561010641049
4; -0,916199800866887
 1,97766178216597
5; -0,0388637049751329
 0,448496731544424
6; 0,291257010512114
 -0,258992204353829
7; 0,774747698777726
 -0,183380582492731
8; -0,125847964204462
 -0,633042109080192
9; 0,5986171485864
 -0,176982544261347
10; 0,273972796086228
 -0,359754131843596
11; -0,702925320136154
 -1,04266111369564
12; -0,502414999550013
 -0,176639559602597
13; -0,0353882612983847
 0,672426824708823
14; -0,362092654445156
 0,57037921765137
15; -0,661522373875838
 0,686635174812328
16; 0,734930149801622
 0,167801945910158
17; 0,100696097436707
 -0,145672069500796
18; -0,085210656079304
 -0,596082762839208
19; -0,0539106076343099
 -0,464034868892513
20; -0,680568694039402
 0,624254703821448
21; -0,386571246200427
 1,28369329682606
22; -0,70973662532787
 -0,792427726733217
23; 0,587055639648836
 0,717250826125032
24; 0,121313465039756
 0,727354037631641
25; -0,317551667620678
 0,099603900196631
26; 0,585098097088354
 -0,470571197613587
27; -1,71624245573619
 0,204913662916977
28; -1,19132109182784
 -0,650274122558458
29; 0,557375310829995
 -0,644074079286602
30; 0,810716407541378
 0,670948335757215
31; 0,254646464790498
 1,18937749526126
32; -0,404889449110734
 -0,236147465274113
33; -0,0837593264513472
 0,134121679530849
34; 0,280024248521871
 -0,91638696314393
35; 0,842225056636447
 -0,135580103324521
36; -0,206292340808711
 -0,386966060697839
37; -2,21107997649531
 0,890672560889543
38; -0,963902483223597
 -0,556954378646671
39; 0,0448442464091066
 0,33213377151215
40; 2,4388407119583
 -1,06343231283557
41; 1,99241217033768
 -2,05437356268401
42; -0,371980629562643
 1,5125627484063
43; -0,166232155505244
 1,3287085098925
44; 0,413848784634563
 1,41616895880387
45; 0,334024032861419
 0,704855090683046
46; -0,976394454438014
 -0,714637827255768
47; -0,966452640493547
 -0,153536690385497
48; -0,723184430643397
 0,71174800549998
49; 1,73156639440743
 -0,248121839485532
50; 1,72472885947023
 -2,14750379031116
51; 1,68048326886497
 1,15319684329983
52; -0,402659678371927
 -0,906468819139699
53; -1,20426012793935
 3,69295651901891
54; 2,08564104465287
 0,548312506234113
55; -0,348879510822822
 0,661719320575487
56; -0,50047781361294
 0,536458178091082
57; 0,474067014524263
 0,586722395119884
58; -0,798373070099486
 1,13659492800989
59; -0,439392332480338
 -1,69634698784852
60; -1,68298654916162
 -3,1112616048825
61; 0,771044878484855
 0,850419694996689
62; -0,258559274627027
 0,404082577580485
63; 1,18614377716463
 1,81830985790392
64; 2,85109040509446
 1,11386278339044
65; -1,38562203786751
 -0,878267353422478
66; -0,567049531330388
 -0,882591329827169
67; 0,378116835362552
 -0,249725813414715
68; 1,00831854124882
 0,267571302811578
69; -3,62321244176608
 -2,29658653692931
70; 1,15278392644812
 -5,1213167309307
71; -0,297785817627466
 -0,584188381971462
72; -2,04609470369842
 1,44752886191425
73; 0,176917516148758
 -0,254122899128342
74; 0,773577372031578
 0,0488605689326201
75; -2,93821629276629
 -0,91035987510036
76; 0,56228154681836
 -0,0025972622514796
77; -5,53035231309126
 -1,9384483161919
78; 2,18160588325103
 0,914668784880314
79; -4,34946864171542
 -1,42010562318009
80; -2,51687148542673
 -1,24864849143453
81; -1,0224409339998
 -0,272723776808696
82; -0,73655113733956
 -0,646982452939366
83; 0,253772118015171
 3,00628284427319
84; -2,6951641266117
 -3,55124058821617
85; 1,7050187393719
 1,98197244853896
86; 1,13116558274875
 11,1240557161489
87; 1,06430492072804
 -0,567420852662031
88; -3,69663932220265
 1,24732319365875
89; 4,78160625156352
 0,223537079662118
90; -9,45102244802553
 -2,49719201262098
91; 2,87868577903269
 2,19416290646055
92; 0,457094491639251
 4,24985315977952
93; -9,89364012110896
 8,68668964077285
94; 1,60055101864829
 3,62590403407803
95; 2,05237072377383
 -6,39259458577503
96; -2,88367727038395
 -1,00414773881252
97; -1,14163040446615
